THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,1.05062,243.664714,10
32,8,1.04858,244.140626,10
32,12,1.05062,243.664714,10
32,16,1.28819,198.728135,9
32,20,1.2288,208.333323,7
32,24,1.10387,231.910958,6
32,28,1.07622,237.868703,5
32,32,1.32608,193.050198,4
32,36,1.32506,193.199388,4
32,40,1.32608,193.050198,4
32,44,1.58413,161.603101,3
32,48,1.58413,161.603101,3
32,52,1.58413,161.603101,3
32,56,1.87597,136.462884,2
32,60,1.87494,136.537413,2
32,64,1.87597,136.462884,2
32,68,1.87802,136.314068,2
32,72,1.87597,136.462884,2
32,76,1.87597,136.462884,2
32,80,1.88006,136.165577,2
32,84,3.41811,74.895146,1
32,88,3.41914,74.872715,1
32,92,3.41709,74.917590,1
32,96,3.41709,74.917590,1
64,4,2.11046,242.600668,20
64,8,2.12173,241.312748,20
64,12,2.11558,242.013565,20
64,16,2.19136,233.644860,18
64,20,2.13709,239.578335,14
64,24,2.05107,249.625576,12
64,28,2.07565,246.669947,10
64,32,2.18829,233.972862,8
64,36,2.23027,229.568406,8
64,40,2.24358,228.206307,8
64,44,2.30195,222.419940,6
64,48,2.28762,223.813786,6
64,52,2.29888,222.717140,6
64,56,2.33882,218.914192,4
64,60,2.34086,218.722665,4
64,64,2.34086,218.722665,4
64,68,2.34086,218.722665,4
64,72,2.34189,218.627027,4
64,76,2.34086,218.722665,4
64,80,2.34189,218.627027,4
64,84,3.72224,137.551583,2
64,88,3.72429,137.475942,2
64,92,3.72429,137.475942,2
64,96,3.72838,137.324910,2
128,4,4.06323,252.016132,40
128,8,4.26291,240.211397,40
128,12,4.26803,239.923220,40
128,16,4.25267,240.789779,36
128,20,4.20864,243.308997,28
128,24,4.17587,245.218253,24
128,28,4.13082,247.892911,20
128,32,4.18918,244.439001,16
128,36,4.10317,249.563264,16
128,40,4.1001,249.750236,16
128,44,4.11853,248.632528,12
128,48,4.11955,248.570710,12
128,52,4.1257,248.200535,12
128,56,3.93728,260.078027,8
128,60,3.93523,260.213380,8
128,64,3.91475,261.574679,8
128,68,4.0407,253.421200,8
128,72,4.06323,252.016132,8
128,76,4.07552,251.256279,8
128,80,4.06221,252.079646,8
128,84,4.67149,219.202113,4
128,88,4.66534,219.490770,4
128,92,4.66432,219.538969,4
128,96,4.66842,219.346347,4
256,4,8.28928,247.066092,64
256,8,8.00461,255.852624,64
256,12,8.20941,249.469882,64
256,16,8.76032,233.781422,64
256,20,8.70707,235.211095,56
256,24,8.71322,235.045251,48
256,28,8.64051,237.022978,40
256,32,7.99027,256.311674,32
256,36,8.704,235.294105,32
256,40,8.51763,240.442427,32
256,44,8.33741,245.639890,24
256,48,8.44186,242.600668,24
256,52,8.28723,247.127135,24
256,56,7.59398,269.687158,16
256,60,7.86022,260.552379,16
256,64,7.77933,263.261818,16
256,68,8.18586,250.187645,16
256,72,8.17254,250.595178,16
256,76,8.18688,250.156344,16
256,80,8.17869,250.406910,16
256,84,7.94829,257.665551,8
256,88,7.93907,257.964655,8
256,92,7.95238,257.532836,8
256,96,7.96058,257.267814,8
