THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,2.65011,3091.190209,10
32,8,2.65421,3086.419817,10
32,12,2.65011,3091.190209,10
32,16,3.38842,2417.648800,9
32,20,2.69005,3045.298843,7
32,24,2.65421,3086.419817,6
32,28,3.09146,2649.884122,5
32,32,3.20922,2552.648279,4
32,36,3.20819,2553.463047,4
32,40,3.20819,2553.463047,4
32,44,4.16358,1967.535552,3
32,48,4.16358,1967.535552,3
32,52,4.16563,1966.568446,3
32,56,5.20294,1574.493270,2
32,60,5.20499,1573.873752,2
32,64,5.20294,1574.493270,2
32,68,5.20806,1572.945316,2
32,72,5.20499,1573.873752,2
32,76,5.20499,1573.873752,2
32,80,5.20294,1574.493270,2
32,84,10.2738,797.368663,1
32,88,10.2687,797.766255,1
32,92,10.2676,797.845836,1
32,96,10.2687,797.766255,1
64,4,5.09747,3214.142105,20
64,8,5.07597,3227.758859,20
64,12,5.08723,3220.611845,20
64,16,5.12205,3198.720574,18
64,20,5.11795,3201.280594,14
64,24,5.06266,3236.246002,12
64,28,5.03706,3252.693657,10
64,32,4.48307,3654.636980,8
64,36,4.48512,3652.968183,8
64,40,4.48717,3651.300910,8
64,44,5.04115,3250.050782,6
64,48,5.03808,3252.032381,6
64,52,5.03706,3252.693657,6
64,56,5.56646,2943.340720,4
64,60,5.5593,2947.135683,4
64,64,5.56749,2942.799236,4
64,68,5.56749,2942.799236,4
64,72,5.56749,2942.799236,4
64,76,5.56442,2944.424033,4
64,80,5.56646,2943.340720,4
64,84,10.3608,1581.340153,2
64,88,10.3608,1581.340153,2
64,92,10.3598,1581.496496,2
64,96,10.367,1580.403036,2
128,4,8.62106,3800.926651,40
128,8,8.64666,3789.673125,40
128,12,8.64358,3791.019911,40
128,16,8.62003,3801.377863,36
128,20,8.58931,3814.973950,28
128,24,8.58214,3818.160220,24
128,28,8.56883,3824.091601,20
128,32,8.56781,3824.548755,16
128,36,8.57907,3819.527334,16
128,40,8.58317,3817.704592,16
128,44,8.58931,3814.973950,12
128,48,8.59341,3813.155550,12
128,52,8.59136,3814.064321,12
128,56,8.76339,3739.191209,8
128,60,8.75622,3742.252506,8
128,64,8.75827,3741.377221,8
128,68,8.77056,3736.135322,8
128,72,8.76544,3738.317762,8
128,76,8.76851,3737.008155,8
128,80,8.77158,3735.699465,8
128,84,10.7172,3057.519568,4
128,88,10.709,3059.858480,4
128,92,10.7141,3058.396173,4
128,96,10.7182,3057.227388,4
256,4,17.2247,3804.767686,64
256,8,17.2308,3803.411115,64
256,12,17.2605,3796.867623,64
256,16,17.2882,3790.795310,64
256,20,17.279,3792.817255,56
256,24,17.237,3802.055512,48
256,28,17.2063,3808.843631,40
256,32,17.1233,3827.293552,32
256,36,17.1848,3813.609670,32
256,40,17.2001,3810.204080,32
256,44,17.1653,3817.932393,24
256,48,17.1745,3815.883588,24
256,52,17.1786,3814.973950,24
256,56,17.1325,3825.234692,16
256,60,17.1428,3822.949618,16
256,64,17.1428,3822.949618,16
256,68,17.1694,3817.021353,16
256,72,17.1663,3817.704592,16
256,76,17.1663,3817.704592,16
256,80,17.1796,3814.746502,16
256,84,17.5811,3727.648543,8
256,88,17.5882,3726.129396,8
256,92,17.5923,3725.262041,8
256,96,17.5913,3725.478943,8
