THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,6.72506,38.066597,16
32,8,6.67853,38.331801,8
32,12,6.75603,37.892065,5
32,16,6.78502,37.730153,4
32,20,6.82691,37.498653,3
32,24,7.11693,35.970576,2
32,28,7.08845,36.115099,2
32,32,7.11482,35.981253,2
32,36,8.03082,31.877209,1
32,40,8.05184,31.793976,1
32,44,8.04006,31.840543,1
32,48,8.04605,31.816861,1
32,52,8.04515,31.820407,1
32,56,8.03619,31.855884,1
32,60,8.01597,31.936254,1
32,64,8.04726,31.812054,1
64,4,13.7997,37.102138,32
64,8,13.3949,38.223469,16
64,12,13.3632,38.314176,10
64,16,13.3465,38.362220,8
64,20,13.309,38.470230,6
64,24,13.4674,38.017663,4
64,28,13.4554,38.051749,4
64,32,13.4554,38.051749,4
64,36,14.1262,36.244770,2
64,40,14.1264,36.244195,2
64,44,14.1292,36.237135,2
64,48,14.1435,36.200406,2
64,52,14.1309,36.232540,2
64,56,14.111,36.283730,2
64,60,14.1274,36.241651,2
64,64,14.1292,36.237135,2
128,4,28.0517,36.504053,32
128,8,27.7478,36.903772,32
128,12,26.8881,38.083814,20
128,16,26.7485,38.282549,16
128,20,26.6737,38.389926,12
128,24,26.5975,38.499901,8
128,28,26.5995,38.497027,8
128,32,26.5994,38.497074,8
128,36,26.8348,38.159474,4
128,40,26.8352,38.158880,4
128,44,26.8494,38.138599,4
128,48,26.8323,38.163022,4
128,52,26.8411,38.150466,4
128,56,26.8595,38.124285,4
128,60,26.8329,38.162114,4
128,64,26.8389,38.153560,4
256,4,56.1314,36.485821,32
256,8,56.1421,36.478855,32
256,12,55.5725,36.852774,32
256,16,55.5827,36.846005,32
256,20,54.2686,37.738229,24
256,24,53.4445,38.320118,16
256,28,53.4453,38.319569,16
256,32,53.422,38.336232,16
256,36,53.1783,38.511970,8
256,40,53.1828,38.508702,8
256,44,53.1764,38.513315,8
256,48,53.2147,38.485616,8
256,52,53.2358,38.470324,8
256,56,53.185,38.507127,8
256,60,53.1941,38.500478,8
256,64,53.194,38.500594,8
