THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,6.69978,76.420463,16
32,8,6.68045,76.641566,8
32,12,6.76032,75.736058,5
32,16,6.79318,75.369667,4
32,20,6.83213,74.940047,3
32,24,7.13114,71.797818,2
32,28,7.13523,71.756602,2
32,32,7.12758,71.833598,2
32,36,8.15037,62.819251,1
32,40,8.1449,62.861457,1
32,44,8.14598,62.853060,1
32,48,8.14176,62.885667,1
32,52,8.14906,62.829360,1
32,56,8.14253,62.879738,1
32,60,8.14138,62.888636,1
32,64,8.12829,62.989892,1
64,4,13.7327,74.566352,32
64,8,13.3716,76.580121,16
64,12,13.359,76.652213,10
64,16,13.3476,76.718005,8
64,20,13.315,76.905516,6
64,24,13.4656,76.045444,4
64,28,13.464,76.054666,4
64,32,13.4645,76.051590,4
64,36,14.1821,72.203794,2
64,40,14.1516,72.359393,2
64,44,14.1691,72.269838,2
64,48,14.1624,72.304294,2
64,52,14.1741,72.244223,2
64,56,14.1675,72.278162,2
64,60,14.1712,72.259231,2
64,64,14.1749,72.240145,2
128,4,27.8019,73.664063,32
128,8,27.6717,74.010516,32
128,12,26.8007,76.415813,20
128,16,26.6938,76.721864,16
128,20,26.6364,76.887129,12
128,24,26.5991,76.995169,8
128,28,26.5922,77.014995,8
128,32,26.6052,76.977571,8
128,36,26.8546,76.262651,4
128,40,26.8314,76.328411,4
128,44,26.843,76.295565,4
128,48,26.8436,76.293744,4
128,52,26.8413,76.300201,4
128,56,26.846,76.287109,4
128,60,26.8558,76.259109,4
128,64,26.841,76.301204,4
256,4,55.567,73.712849,32
256,8,55.5595,73.722784,32
256,12,55.3329,74.024726,32
256,16,55.3555,73.994470,32
256,20,53.9395,75.936899,24
256,24,53.3558,76.767606,16
256,28,53.3414,76.788418,16
256,32,53.3404,76.789758,16
256,36,53.181,77.019956,8
256,40,53.1745,77.029454,8
256,44,53.1961,76.998178,8
256,48,53.2234,76.958598,8
256,52,53.1985,76.994611,8
256,56,53.2137,76.972710,8
256,60,53.1924,77.003457,8
256,64,53.1922,77.003739,8
