THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,6.92634,591.366072,16
32,8,6.87898,595.437472,8
32,12,7.00589,584.651083,5
32,16,7.11341,575.814005,4
32,20,7.07946,578.575541,3
32,24,7.8848,519.480522,2
32,28,7.89094,519.076044,2
32,32,8.15693,502.149825,2
32,36,11.5241,355.429195,1
32,40,11.5186,355.599993,1
32,44,11.5137,355.751211,1
32,48,11.5228,355.468672,1
32,52,11.5169,355.650404,1
32,56,11.5161,355.676087,1
32,60,11.5199,355.557543,1
32,64,11.5098,355.871889,1
64,4,13.8396,591.925291,32
64,8,13.4798,607.723796,16
64,12,13.463,608.480684,10
64,16,13.5301,605.465755,8
64,20,13.4533,608.919224,6
64,24,13.9037,589.193828,4
64,28,13.9155,588.695224,4
64,32,13.914,588.760187,4
64,36,15.4317,530.856015,2
64,40,15.4225,531.173216,2
64,44,15.4452,530.390763,2
64,48,15.4253,531.075156,2
64,52,15.4587,529.928550,2
64,56,15.4432,530.461118,2
64,60,15.4376,530.651347,2
64,64,15.2617,536.768658,2
128,4,28.6125,572.617260,32
128,8,27.9147,586.931150,32
128,12,27.0681,605.288229,20
128,16,26.8759,609.616702,16
128,20,26.7444,612.613137,12
128,24,26.7068,613.476356,8
128,28,26.6788,614.120957,8
128,32,26.6962,613.719748,8
128,36,27.3943,598.080529,4
128,40,27.4381,597.125627,4
128,44,27.4386,597.115873,4
128,48,27.4581,596.690682,4
128,52,27.4126,597.681867,4
128,56,27.2855,600.465374,4
128,60,27.4125,597.683281,4
128,64,27.441,597.062250,4
256,4,55.8367,586.854442,32
256,8,55.9934,585.211424,32
256,12,55.5377,590.014029,32
256,16,55.6618,588.698250,32
256,20,54.0193,606.598414,24
256,24,53.7228,609.945683,16
256,28,53.7844,609.246762,16
256,32,53.9034,607.902753,16
256,36,53.3627,614.062041,8
256,40,53.387,613.781931,8
256,44,53.4153,613.457605,8
256,48,53.4364,613.214771,8
256,52,53.4384,613.191658,8
256,56,53.4583,612.963688,8
256,60,53.4262,613.332332,8
256,64,53.4427,613.143162,8
