SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
4,29.3274,4686.373160,64
6,29.3386,4684.574094,64
8,29.3366,4684.900900,64
10,29.3437,4683.756516,64
12,29.4318,4669.742045,64
16,29.5045,4658.234978,64
20,30.0032,4580.809748,56
24,31.1101,4417.818026,48
32,37.8675,3629.468096,32
40,37.8706,3629.173792,32
48,46.0923,2981.820963,24
