Array_Size_MB,Throughput_GBps,MaxAttainedOccupancy
1,3125.543918,64
2,2955.040536,64
4,2908.087355,64
8,2877.088616,64
16,1078.361667,64
32,679.270685,64
64,200.526328,64
128,150.314533,64
256,134.253008,64
512,126.781395,64
1024,124.316631,64
