SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
4,37.2411,3690.519199,64
6,38.0666,3610.484465,64
8,36.0874,3808.503470,50
10,35.5003,3871.491943,40
12,38.4508,3574.406338,34
16,48.0709,2859.087740,26
20,61.5711,2232.199014,20
24,68.5316,2005.483341,18
32,102.688,1338.410064,12
40,123.885,1109.404723,10
48,158.729,865.869293,8
