SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
4,21.9842,6251.717331,64
6,21.9577,6259.252188,64
8,22.043,6235.027369,64
10,22.1124,6215.456339,64
12,22.1317,6210.055285,64
16,21.9622,6257.975280,64
20,22.0302,6238.650103,64
24,22.1654,6200.614389,64
32,22.6138,6077.669238,48
40,24.0723,5709.433838,40
48,28.2719,4861.326408,32
