THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,0.2256,283.687938,9
32,8,0.225184,284.212030,9
32,12,0.226016,283.165794,9
32,16,0.225312,284.050568,9
32,20,0.225952,283.246000,9
32,24,0.226304,282.805437,9
32,28,0.42704,149.868861,7
32,32,0.429568,148.986892,6
32,36,0.429856,148.887068,6
32,40,0.430816,148.555302,5
32,44,0.431552,148.301945,5
32,48,0.628864,101.770814,4
32,52,0.6272,102.040815,4
32,56,0.627872,101.931605,4
32,60,0.64288,99.552012,3
32,64,0.641056,99.835272,3
64,4,0.242368,528.122529,18
64,8,0.242112,528.680950,18
64,12,0.242496,527.843761,18
64,16,0.242688,527.426160,18
64,20,0.242624,527.565287,18
64,24,0.243968,524.658982,18
64,28,0.437472,292.590164,14
64,32,0.438528,291.885580,12
64,36,0.437952,292.269465,12
64,40,0.439424,291.290411,10
64,44,0.439744,291.078449,10
64,48,0.63712,200.904066,8
64,52,0.637824,200.682320,8
64,56,0.637728,200.712537,8
64,60,0.648992,197.228933,6
64,64,0.648384,197.413886,6
128,4,0.303648,843.081477,36
128,8,0.305696,837.433238,36
128,12,0.304096,841.839382,36
128,16,0.303872,842.460013,36
128,20,0.303552,843.348087,36
128,24,0.30544,838.135126,36
128,28,0.478624,534.866633,28
128,32,0.473696,540.431001,24
128,36,0.47344,540.723227,24
128,40,0.47216,542.189075,20
128,44,0.471424,543.035553,20
128,48,0.667168,383.711437,16
128,52,0.666208,384.264357,16
128,56,0.667904,383.288605,16
128,60,0.673504,380.101680,12
128,64,0.67264,380.589900,12
256,4,0.695872,735.767488,64
256,8,0.693472,738.313846,64
256,12,0.692064,739.815984,64
256,16,0.69552,736.139884,64
256,20,0.696032,735.598376,64
256,24,0.697216,734.349210,64
256,28,0.654656,782.090144,56
256,32,0.617408,829.273379,48
256,36,0.619648,826.275590,48
256,40,0.593792,862.254765,40
256,44,0.59376,862.301247,40
256,48,0.763456,670.634599,32
256,52,0.767072,667.473178,32
256,56,0.765984,668.421274,32
256,60,0.746688,685.694687,24
256,64,0.748416,684.111504,24
