THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,0.4136,77.369439,16
32,8,0.512,62.499997,8
32,12,0.767584,41.689247,5
32,16,0.905216,35.350680,4
32,20,1.06957,29.918620,3
32,24,1.6097,19.879530,2
32,28,1.59277,20.090811,2
32,32,1.6097,19.879530,2
32,36,3.07555,10.404636,1
32,40,3.07437,10.408643,1
32,44,2.9473,10.857410,1
32,48,3.07789,10.396740,1
32,52,2.9808,10.735373,1
32,56,3.07126,10.419163,1
32,60,3.076,10.403121,1
32,64,2.98256,10.729038,1
64,4,0.69648,91.890653,32
64,8,0.699424,91.503862,16
64,12,0.891232,71.810706,10
64,16,0.989504,64.678871,8
64,20,1.15133,55.587983,6
64,24,1.67936,38.109755,4
64,28,1.58304,40.428543,4
64,32,1.67936,38.109755,4
64,36,3.13549,20.411496,2
64,40,3.14374,20.357892,2
64,44,3.13859,20.391309,2
64,48,3.14147,20.372614,2
64,52,2.90202,22.053635,2
64,56,3.14272,20.364525,2
64,60,3.14272,20.364525,2
64,64,3.16294,20.234313,2
128,4,1.29546,98.806903,32
128,8,1.29434,98.892408,32
128,12,1.38035,92.729969,20
128,16,1.39824,91.543657,16
128,20,1.43853,88.979850,12
128,24,1.82614,70.093049,8
128,28,1.86186,68.748604,8
128,32,1.8023,71.020204,8
128,36,3.24682,39.423239,4
128,40,3.0713,41.676218,4
128,44,3.23782,39.532724,4
128,48,3.24362,39.462130,4
128,52,3.23738,39.538194,4
128,56,3.24154,39.487454,4
128,60,3.13715,40.801339,4
128,64,3.24317,39.467581,4
256,4,2.61549,97.878482,32
256,8,2.60816,98.153487,32
256,12,2.61882,97.754103,32
256,16,2.61558,97.874895,32
256,20,2.58547,99.014799,24
256,24,2.6593,96.266078,16
256,28,2.64208,96.893354,16
256,32,2.66134,96.191997,16
256,36,3.6105,70.904385,8
256,40,3.45469,74.102204,8
256,44,3.60653,70.982396,8
256,48,3.60653,70.982396,8
256,52,3.45053,74.191546,8
256,56,3.60256,71.060578,8
256,60,3.60838,70.945888,8
256,64,3.60854,70.942738,8
