THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,0.4296,297.951583,16
32,8,0.523904,244.319558,8
32,12,0.756416,169.219049,5
32,16,0.932896,137.207146,4
32,20,1.06371,120.333323,3
32,24,1.66032,77.093570,2
32,28,1.57389,81.327264,2
32,32,1.66074,77.074263,2
32,36,3.06173,41.806457,1
32,40,3.17328,40.336812,1
32,44,3.05533,41.894031,1
32,48,3.18035,40.247118,1
32,52,3.17645,40.296581,1
32,56,3.17306,40.339661,1
32,60,3.17629,40.298614,1
32,64,3.06054,41.822630,1
64,4,0.6928,369.515019,32
64,8,0.706464,362.368079,16
64,12,0.907104,282.216808,10
64,16,1.0281,249.003994,8
64,20,1.18083,216.796288,6
64,24,1.72995,147.980986,4
64,28,1.72816,148.134430,4
64,32,1.72899,148.063150,4
64,36,3.0984,82.623286,2
64,40,3.24198,78.963995,2
64,44,3.05475,83.803854,2
64,48,3.24451,78.902465,2
64,52,3.23987,79.015468,2
64,56,3.23994,79.013904,2
64,60,3.24208,78.961655,2
64,64,3.06973,83.395014,2
128,4,1.30054,393.681406,32
128,8,1.30198,393.246014,32
128,12,1.38336,370.113340,20
128,16,1.40678,363.950670,16
128,20,1.4577,351.239225,12
128,24,1.90573,268.663736,8
128,28,1.81309,282.391138,8
128,32,1.90227,269.151837,8
128,36,3.10922,164.671739,4
128,40,3.34848,152.905199,4
128,44,3.08838,165.782498,4
128,48,3.35053,152.811736,4
128,52,3.35062,152.807354,4
128,56,3.35722,152.507321,4
128,60,3.35296,152.700892,4
128,64,3.1785,161.082480,4
256,4,2.61939,390.930427,32
256,8,2.61926,390.949535,32
256,12,2.61846,391.068964,32
256,16,2.62342,390.329577,32
256,20,2.59482,394.632996,24
256,24,2.67683,382.541756,16
256,28,2.64602,386.996921,16
256,32,2.68528,381.338247,16
256,36,3.50003,292.568758,8
256,40,3.71286,275.797880,8
256,44,3.47338,294.814034,8
256,48,3.71888,275.351723,8
256,52,3.56147,287.521569,8
256,56,3.71302,275.785997,8
256,60,3.48173,294.106828,8
256,64,3.70893,276.090550,8
