THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,0.438848,583.345501,16
32,8,0.549888,465.549336,8
32,12,0.75376,339.630661,5
32,16,0.976704,262.106022,4
32,20,1.15142,222.333379,3
32,24,1.65277,154.891671,2
32,28,1.74048,147.085866,2
32,32,1.74106,147.037203,2
32,36,3.33587,76.741555,1
32,40,3.33318,76.803441,1
32,44,3.02749,84.558552,1
32,48,3.3313,76.846970,1
32,52,3.33402,76.784273,1
32,56,3.17859,80.538805,1
32,60,3.33238,76.821876,1
32,64,3.3328,76.812292,1
64,4,0.69856,732.936327,32
64,8,0.741376,690.607751,16
64,12,0.948416,539.847496,10
64,16,1.01459,504.636321,8
64,20,1.15501,443.286989,6
64,24,1.82109,281.150616,4
64,28,1.76976,289.304762,4
64,32,1.81946,281.402796,4
64,36,3.39728,150.708803,2
64,40,3.06048,167.294013,2
64,44,3.39149,150.966180,2
64,48,3.39562,150.782654,2
64,52,3.31267,154.558017,2
64,56,3.09626,165.361003,2
64,60,3.07414,166.550434,2
64,64,3.06374,167.115787,2
128,4,1.31072,781.250020,32
128,8,1.30323,785.738867,32
128,12,1.39472,734.197567,20
128,16,1.44099,710.621573,16
128,20,1.45821,702.231797,12
128,24,2.01008,509.432435,8
128,28,2.0127,508.768330,8
128,32,1.86189,549.979361,8
128,36,3.53094,290.007422,4
128,40,3.52838,290.217847,4
128,44,3.28704,311.526480,4
128,48,3.52483,290.510299,4
128,52,3.50515,292.141398,4
128,56,3.48746,293.623769,4
128,60,3.53456,289.710745,4
128,64,3.19555,320.445408,4
256,4,2.6153,783.085390,32
256,8,2.61514,783.133295,32
256,12,2.62554,780.031212,32
256,16,2.61965,781.784429,32
256,20,2.61194,784.092691,24
256,24,2.75869,742.381893,16
256,28,2.75856,742.416349,16
256,32,2.75731,742.752346,16
256,36,3.65779,559.900604,8
256,40,3.95651,517.627651,8
256,44,3.95376,517.987953,8
256,48,3.73965,547.645111,8
256,52,3.94694,518.882457,8
256,56,3.95264,518.134708,8
256,60,3.90845,523.993158,8
256,64,3.95216,518.197659,8
