THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,0.921792,1110.879713,16
32,8,0.952832,1074.691045,8
32,12,1.07523,952.352583,5
32,16,1.37421,745.156497,4
32,20,1.43312,714.524946,3
32,24,2.2711,450.882019,2
32,28,2.27139,450.824847,2
32,32,2.27152,450.799485,2
32,36,3.91818,261.346100,1
32,40,4.35203,235.292378,1
32,44,4.20864,243.308997,1
32,48,4.35456,235.155796,1
32,52,4.3551,235.126419,1
32,56,4.3559,235.083229,1
32,60,4.35446,235.160972,1
32,64,4.07952,251.009909,1
64,4,1.81594,1127.793069,32
64,8,1.6176,1266.073223,16
64,12,1.71206,1196.216944,10
64,16,1.79514,1140.860653,8
64,20,1.87597,1091.703069,6
64,24,2.5647,798.532714,4
64,28,2.4639,831.201248,4
64,32,2.56816,797.458085,4
64,36,4.16685,491.498588,2
64,40,4.4135,464.030381,2
64,44,4.02842,508.388389,2
64,48,4.41402,463.976593,2
64,52,4.12058,497.017904,2
64,56,4.41274,464.111161,2
64,60,3.98531,513.886995,2
64,64,4.41245,464.141455,2
128,4,3.15587,1297.897970,32
128,8,3.48406,1175.638530,32
128,12,3.15315,1299.017622,20
128,16,3.40842,1201.731233,16
128,20,3.08637,1327.126217,12
128,24,3.40582,1202.645840,8
128,28,3.41043,1201.020832,8
128,32,3.4073,1202.126281,8
128,36,4.99984,819.226251,4
128,40,4.69206,872.963405,4
128,44,5.00346,818.634141,4
128,48,4.81075,851.426154,4
128,52,4.98835,821.112894,4
128,56,4.40941,928.922865,4
128,60,4.99696,819.698350,4
128,64,4.70854,869.908021,4
256,4,6.87549,1191.479097,32
256,8,5.98374,1369.042493,32
256,12,6.87926,1190.825086,32
256,16,6.08656,1345.916299,32
256,20,6.8783,1190.991267,24
256,24,5.75136,1424.358775,16
256,28,6.73984,1215.459115,16
256,32,5.71254,1434.037103,16
256,36,6.88515,1189.806727,8
256,40,5.92579,1382.431192,8
256,44,6.87718,1191.185244,8
256,48,6.21715,1317.645096,8
256,52,6.89024,1188.928074,8
256,56,6.61446,1238.497971,8
256,60,6.88771,1189.364480,8
256,64,6.88128,1190.476200,8
