THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,1.92253,1065.264053,16
32,8,1.9184,1067.556270,8
32,12,1.8944,1081.081081,5
32,16,2.2057,928.505062,4
32,20,2.26704,903.380614,3
32,24,3.13446,653.381243,2
32,28,3.13568,653.127878,2
32,32,2.9096,703.876817,2
32,36,6.02214,340.078227,1
32,40,6.00323,341.149567,1
32,44,6.00163,341.240504,1
32,48,6.00621,340.980535,1
32,52,6.00451,341.076853,1
32,56,6.00256,341.187752,1
32,60,6.02726,339.789324,1
32,64,6.00438,341.084112,1
64,4,3.7303,1098.033832,32
64,8,3.55738,1151.410508,16
64,12,3.41603,1199.051973,10
64,16,3.52666,1161.440215,8
64,20,3.44326,1189.568965,6
64,24,4.14445,988.310191,4
64,28,3.72787,1098.750203,4
64,32,4.14701,987.700062,4
64,36,6.06672,675.158899,2
64,40,5.70253,718.277929,2
64,44,5.49069,745.990323,2
64,48,6.0696,674.838528,2
64,52,6.07395,674.354994,2
64,56,5.62454,728.236795,2
64,60,6.07248,674.518461,2
64,64,6.06992,674.802956,2
128,4,7.27654,1125.809161,32
128,8,7.17517,1141.715421,32
128,12,6.05798,1352.265072,20
128,16,7.05837,1160.608197,16
128,20,6.94205,1180.055211,12
128,24,5.68634,1440.646480,8
128,28,6.73315,1216.666445,8
128,32,6.72771,1217.650193,8
128,36,8.09693,1011.741782,4
128,40,8.0809,1013.748923,4
128,44,6.99795,1170.628209,4
128,48,8.08122,1013.708846,4
128,52,8.09315,1012.213777,4
128,56,8.0792,1013.961805,4
128,60,8.02851,1020.363425,4
128,64,6.97792,1173.988801,4
256,4,14.5469,1126.284694,32
256,8,12.3399,1327.728482,32
256,12,12.343,1327.391179,32
256,16,12.3372,1328.021299,32
256,20,12.2426,1338.282147,24
256,24,11.9205,1374.441324,16
256,28,14.0909,1162.737852,16
256,32,12.1078,1353.180008,16
256,36,11.3873,1438.796392,8
256,40,11.389,1438.582058,8
256,44,11.3917,1438.234610,8
256,48,11.3918,1438.222449,8
256,52,13.4629,1216.975850,8
256,56,11.3907,1438.363815,8
256,60,13.4554,1217.650193,8
256,64,13.4368,1219.340880,8
