SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
4,33.4874,4104.199925,64
6,33.5778,4093.150285,64
8,33.5602,4095.300706,64
10,33.6236,4087.575864,64
12,33.5244,4099.667114,64
16,33.6044,4089.911240,64
20,33.6593,4083.243028,64
24,34.9362,3933.995444,64
32,34.4603,3988.332495,48
40,38.2457,3593.579518,40
48,46.4816,2956.848515,32
