SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
48,78.9688,1740.420197,24
44,78.9729,1740.329907,24
40,61.6305,2230.049030,32
36,61.6458,2229.493315,32
32,60.9075,2256.518617,32
28,61.1103,2249.031958,40
24,66.4259,2069.058023,48
20,67.584,2033.601950,56
16,67.668,2031.078456,64
