SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
0,158.65,866.301257,32
4,157.9,870.419491,32
8,158.441,867.443074,32
12,155.699,882.722624,32
16,155.738,882.499142,32
20,155.812,882.084480,24
24,158.484,867.209060,16
32,158.484,867.210646,16
40,165.291,831.498430,8
48,165.118,832.370104,8
