THREADS_PER_BLOCK,SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
32,4,1.03322,123.885035,10
32,8,1.03322,123.885035,10
32,12,1.03117,124.131084,10
32,16,1.40083,91.374265,9
32,20,1.22573,104.427733,7
32,24,1.10592,115.740745,6
32,28,1.07213,119.388723,5
32,32,1.3097,97.732607,4
32,36,1.31277,97.503901,4
32,40,1.30867,97.809080,4
32,44,1.55853,82.128781,3
32,48,1.55955,82.074855,3
32,52,1.55546,82.290979,3
32,56,1.84115,69.521693,2
32,60,1.84013,69.560380,2
32,64,1.83808,69.637881,2
32,68,1.8391,69.599107,2
32,72,1.84115,69.521693,2
32,76,1.84115,69.521693,2
32,80,1.8432,69.444446,2
32,84,3.34029,38.320050,1
32,88,3.33926,38.331801,1
32,92,3.33926,38.331801,1
32,96,3.33722,38.355325,1
64,4,2.11456,121.065382,20
64,8,2.10944,121.359218,20
64,12,2.11456,121.065382,20
64,16,2.15347,118.877797,18
64,20,2.03469,125.817816,14
64,24,2.0183,126.839161,12
64,28,2.03469,125.817816,10
64,32,2.20058,116.333175,8
64,36,2.23642,114.468859,8
64,40,2.25075,113.739765,8
64,44,2.33472,109.649128,6
64,48,2.33165,109.793583,6
64,52,2.3337,109.697241,6
64,56,2.32243,110.229275,4
64,60,2.31936,110.375275,4
64,64,2.31834,110.424028,4
64,68,2.32346,110.180694,4
64,72,2.31629,110.521663,4
64,76,2.32346,110.180694,4
64,80,2.31936,110.375275,4
64,84,3.65261,70.086909,2
64,88,3.65363,70.067266,2
64,92,3.6567,70.008402,2
64,96,3.65158,70.106564,2
128,4,4.08678,125.281888,40
128,8,4.26496,120.048024,40
128,12,4.25677,120.279041,40
128,16,4.23731,120.831324,36
128,20,4.17894,122.518987,28
128,24,4.15642,123.183052,24
128,28,4.11546,124.409054,20
128,32,4.29875,119.104340,16
128,36,4.08371,125.376125,16
128,40,4.08166,125.439034,16
128,44,4.21376,121.506686,12
128,48,4.21069,121.595327,12
128,52,4.21683,121.418160,12
128,56,4.05504,126.262630,8
128,60,4.01203,127.616130,8
128,64,4.01203,127.616130,8
128,68,4.08781,125.250497,8
128,72,4.13184,123.915730,8
128,76,4.05094,126.390298,8
128,80,4.09293,125.093822,8
128,84,4.62643,110.668439,4
128,88,4.6336,110.497232,4
128,92,4.62643,110.668439,4
128,96,4.62643,110.668439,4
256,4,8.35994,122.488980,64
256,8,8.33741,122.819945,64
256,12,8.26675,123.869685,64
256,16,8.89754,115.088039,64
256,20,8.68557,117.896724,56
256,24,8.69376,117.785631,48
256,28,8.59341,119.161111,40
256,32,7.89094,129.769011,32
256,36,8.54835,119.789168,32
256,40,8.4521,121.153380,32
256,44,8.25242,124.084879,24
256,48,8.24218,124.239035,24
256,52,8.23706,124.316264,24
256,56,7.73734,132.345160,16
256,60,7.64723,133.904659,16
256,64,7.64518,133.940530,16
256,68,8.17766,125.219136,16
256,72,8.16128,125.470519,16
256,76,8.1664,125.391850,16
256,80,8.16128,125.470519,16
256,84,7.93088,129.115557,8
256,88,7.92883,129.148908,8
256,92,7.92678,129.182276,8
256,96,7.9319,129.098892,8
