Array_Size_MB,Throughput_GBps,MaxAttainedOccupancy
1,447.365274,32
2,442.923422,32
4,438.442745,32
8,309.310742,32
16,28.450297,32
32,20.675811,32
64,18.845588,32
128,18.077849,32
256,17.720321,32
512,17.556772,32
1024,17.469033,32
