SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
4,54.86,74.662824,32
8,53.3688,76.748916,16
12,53.338,76.793350,10
16,53.2931,76.858042,8
20,53.1585,77.052548,6
24,53.812,76.116894,4
28,53.8031,76.129393,4
32,53.817,76.109788,4
36,56.5602,72.418385,2
40,56.5695,72.406543,2
44,56.5691,72.407036,2
48,56.5616,72.416622,2
52,56.5687,72.407529,2
56,56.5612,72.417194,2
60,56.5718,72.403555,2
64,56.5616,72.416661,2
