SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
4,56.212,9.108381,32
8,54.0679,9.469579,16
12,53.5033,9.569498,10
16,53.3801,9.591585,8
20,53.1026,9.641714,6
24,53.7381,9.527688,4
28,53.7354,9.528165,4
32,53.737,9.527893,4
36,56.2964,9.094728,2
40,56.2985,9.094381,2
44,56.3016,9.093885,2
48,56.2811,9.097189,2
52,56.2961,9.094769,2
56,56.2811,9.097194,2
60,56.2852,9.096533,2
64,56.2975,9.094547,2
