SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
4,54.6775,149.823953,32
8,53.3033,153.686559,16
12,53.3694,153.496264,10
16,53.3436,153.570302,8
20,53.2051,153.970332,6
24,53.8998,151.985702,4
28,53.9164,151.938882,4
32,53.9197,151.929509,4
36,56.9759,143.780083,2
40,56.9429,143.863468,2
44,56.9565,143.829118,2
48,56.9495,143.846652,2
52,56.9485,143.849234,2
56,56.9517,143.841073,2
60,56.9386,143.874215,2
64,56.9486,143.848994,2
