SHMEM_KB,RegisterPressure,ExecutionTime_ms,Throughput_GOps,MaxAttainedOccupancy
0,0,41.5228,1965.184649,32
2,0,45.055,1811.118197,32
4,0,44.9828,1814.028560,32
6,0,45.3302,1800.125322,32
8,0,45.2488,1803.362806,32
12,0,45.1479,1807.391523,32
16,0,44.7636,1822.911574,32
20,0,45.2994,1801.348653,24
24,0,42.0576,1940.194805,16
28,0,44.9205,1816.542027,16
32,0,39.625,2059.306390,16
36,0,20.8085,3921.472186,8
40,0,20.7724,3928.292365,8
44,0,20.9063,3903.134740,8
48,0,20.8118,3920.857264,8
