SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
4,56.5861,4.524076,32
8,54.2659,4.717515,16
12,53.5675,4.779021,10
16,53.3661,4.797052,8
20,53.1003,4.821069,6
24,53.7331,4.764293,4
28,53.7211,4.765354,4
32,53.7478,4.762988,4
36,56.2728,4.549267,2
40,56.2872,4.548101,2
44,56.2576,4.550496,2
48,56.2911,4.547790,2
52,56.277,4.548928,2
56,56.2551,4.550696,2
60,56.2589,4.550390,2
64,56.2682,4.549637,2
