SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
4,57.2301,2.236584,32
8,54.5371,2.347027,16
12,53.6821,2.384408,10
16,53.3627,2.398680,8
20,53.1148,2.409874,6
24,53.7215,2.382660,4
28,53.7223,2.382625,4
32,53.7416,2.381769,4
36,56.2574,2.275255,2
40,56.2468,2.275686,2
44,56.2847,2.274151,2
48,56.2543,2.275383,2
52,56.2441,2.275794,2
56,56.2624,2.275055,2
60,56.2468,2.275683,2
64,56.234,2.276205,2
