SHMEM_KB,ExecutionTime_ms,GFLOPS,MaxAttainedOccupancy
4,55.0786,37.183253,32
8,53.455,38.312571,16
12,53.3672,38.375654,10
16,53.3008,38.423416,8
20,53.1617,38.524002,6
24,53.7641,38.092336,4
28,53.7542,38.099365,4
32,53.7759,38.083949,4
36,56.3919,36.317271,2
40,56.4047,36.309008,2
44,56.3831,36.322959,2
48,56.4178,36.300604,2
52,56.4142,36.302931,2
56,56.3994,36.312468,2
60,56.4069,36.307586,2
64,56.4122,36.304230,2
